customer_id,campaign_id,channel,spend,spend_date
42,CMP-2026-08-A,paid_search,120.50,2026-08-18
17,CMP-2026-08-A,paid_search,85.00,2026-08-18
42,CMP-2026-08-B,social,45.25,2026-08-18
171,CMP-2026-08-A,paid_search,74.12,2026-08-18
291,CMP-2026-08-C,social,17.19,2026-08-03
236,CMP-2026-08-B,paid_search,41.35,2026-08-08
429,CMP-2026-08-A,paid_search,26.90,2026-08-12
282,CMP-2026-08-C,email,78.95,2026-08-11
145,CMP-2026-08-D,display,126.53,2026-08-19
252,CMP-2026-08-C,paid_search,23.76,2026-08-02
228,CMP-2026-08-B,display,45.53,2026-08-07
416,CMP-2026-08-D,paid_search,47.82,2026-08-01
429,CMP-2026-08-B,social,8.33,2026-08-04
19,CMP-2026-08-A,display,11.85,2026-08-06
384,CMP-2026-08-C,paid_search,55.98,2026-08-11
227,CMP-2026-08-C,email,13.18,2026-08-18
489,CMP-2026-08-D,display,401.67,2026-08-01
414,CMP-2026-08-D,paid_search,49.47,2026-08-16
109,CMP-2026-08-C,paid_search,56.27,2026-08-11
265,CMP-2026-08-A,paid_search,90.88,2026-08-07
213,CMP-2026-08-B,paid_search,92.84,2026-08-08
173,CMP-2026-08-D,paid_search,81.77,2026-08-02
298,CMP-2026-08-B,social,15.14,2026-08-11
332,CMP-2026-08-D,display,37.41,2026-08-09
317,CMP-2026-08-C,paid_search,19.98,2026-08-05
346,CMP-2026-08-D,paid_search,58.82,2026-08-16
378,CMP-2026-08-B,paid_search,11.69,2026-08-06
103,CMP-2026-08-B,display,27.81,2026-08-02
123,CMP-2026-08-B,display,17.61,2026-08-13
350,CMP-2026-08-B,paid_search,8.66,2026-08-04
84,CMP-2026-08-C,paid_search,90.42,2026-08-08
353,CMP-2026-08-C,social,15.23,2026-08-01
21,CMP-2026-08-A,paid_search,49.04,2026-08-18
13,CMP-2026-08-B,paid_search,64.19,2026-08-09
173,CMP-2026-08-A,email,17.07,2026-08-14
357,CMP-2026-08-D,paid_search,71.57,2026-08-02
466,CMP-2026-08-C,social,51.25,2026-08-06
71,CMP-2026-08-D,paid_search,33.71,2026-08-15
168,CMP-2026-08-A,social,147.72,2026-08-14
396,CMP-2026-08-D,display,38.84,2026-08-12
130,CMP-2026-08-C,email,31.45,2026-08-05
185,CMP-2026-08-A,paid_search,41.95,2026-08-11
359,CMP-2026-08-A,paid_search,17.69,2026-08-08
251,CMP-2026-08-C,social,88.10,2026-08-11
321,CMP-2026-08-B,display,48.88,2026-08-09
168,CMP-2026-08-D,display,159.99,2026-08-09
7,CMP-2026-08-D,paid_search,40.78,2026-08-09
245,CMP-2026-08-C,paid_search,76.12,2026-08-19
349,CMP-2026-08-C,social,112.54,2026-08-17
120,CMP-2026-08-B,social,114.22,2026-08-04
211,CMP-2026-08-A,email,131.95,2026-08-07
91,CMP-2026-08-C,email,74.77,2026-08-09
453,CMP-2026-08-C,email,49.65,2026-08-11
151,CMP-2026-08-C,email,114.93,2026-08-16
323,CMP-2026-08-C,social,18.28,2026-08-14
11,CMP-2026-08-B,social,102.74,2026-08-16
470,CMP-2026-08-A,display,38.79,2026-08-18
431,CMP-2026-08-D,paid_search,13.90,2026-08-06
422,CMP-2026-08-A,display,145.81,2026-08-18
391,CMP-2026-08-D,display,56.51,2026-08-11
188,CMP-2026-08-B,paid_search,18.19,2026-08-07
341,CMP-2026-08-A,paid_search,62.05,2026-08-06
171,CMP-2026-08-D,paid_search,34.06,2026-08-12
271,CMP-2026-08-A,social,25.45,2026-08-03
116,CMP-2026-08-B,social,10.93,2026-08-16
403,CMP-2026-08-D,display,28.35,2026-08-13
111,CMP-2026-08-B,display,41.12,2026-08-16
149,CMP-2026-08-B,paid_search,77.29,2026-08-08
414,CMP-2026-08-B,display,59.69,2026-08-09
216,CMP-2026-08-D,paid_search,15.15,2026-08-04
477,CMP-2026-08-B,display,79.39,2026-08-05
178,CMP-2026-08-C,social,37.05,2026-08-15
450,CMP-2026-08-B,display,29.59,2026-08-11
156,CMP-2026-08-C,email,127.51,2026-08-03
107,CMP-2026-08-D,display,12.11,2026-08-18
113,CMP-2026-08-B,display,57.36,2026-08-11
207,CMP-2026-08-A,paid_search,80.38,2026-08-18
352,CMP-2026-08-A,email,22.45,2026-08-12
7,CMP-2026-08-C,email,46.69,2026-08-18
40,CMP-2026-08-A,display,96.38,2026-08-02
54,CMP-2026-08-D,paid_search,54.76,2026-08-04
197,CMP-2026-08-B,social,162.18,2026-08-09
239,CMP-2026-08-B,display,22.72,2026-08-10
176,CMP-2026-08-A,display,27.96,2026-08-06
301,CMP-2026-08-A,social,34.07,2026-08-19
102,CMP-2026-08-A,email,116.73,2026-08-10
269,CMP-2026-08-C,email,277.37,2026-08-10
193,CMP-2026-08-B,paid_search,32.97,2026-08-04
243,CMP-2026-08-B,display,90.54,2026-08-11
447,CMP-2026-08-A,email,29.70,2026-08-05
192,CMP-2026-08-D,display,63.67,2026-08-09
188,CMP-2026-08-B,paid_search,9.57,2026-08-19
173,CMP-2026-08-A,display,81.45,2026-08-13
253,CMP-2026-08-D,paid_search,9.28,2026-08-02
303,CMP-2026-08-C,social,29.47,2026-08-09
149,CMP-2026-08-A,social,19.51,2026-08-04
217,CMP-2026-08-A,display,7.06,2026-08-02
450,CMP-2026-08-D,paid_search,45.54,2026-08-14
99,CMP-2026-08-B,social,33.30,2026-08-14
129,CMP-2026-08-C,paid_search,113.81,2026-08-17
57,CMP-2026-08-A,social,20.99,2026-08-04
151,CMP-2026-08-A,display,34.97,2026-08-06
112,CMP-2026-08-C,paid_search,184.05,2026-08-04
14,CMP-2026-08-C,social,31.93,2026-08-14
316,CMP-2026-08-D,paid_search,40.17,2026-08-10
21,CMP-2026-08-B,display,87.78,2026-08-06
13,CMP-2026-08-C,social,34.00,2026-08-18
7,CMP-2026-08-C,email,71.26,2026-08-08
113,CMP-2026-08-A,display,29.94,2026-08-10
25,CMP-2026-08-A,paid_search,129.76,2026-08-16
373,CMP-2026-08-D,display,227.33,2026-08-04
237,CMP-2026-08-B,social,37.16,2026-08-10
221,CMP-2026-08-A,social,259.57,2026-08-02
